id,label,long,lat
I8107,Susannah Darwin,1966,64
I5906,Erasmus Darwin,1731,71
I7522,John Darwin,1787,31
I11904,Ursula Frances Elinor Darwin,1908,75
I7491,Elizabeth Darwin,1763,0
I7492,William Alvey Darwin,1767,0
I7498,Anne Elizabeth Darwin,1841,10
I7499,Mary Eleanor Darwin,1842,0
I7462,Charles Robert Darwin,1809,73
I7506,Charles Waring Darwin,1856,2
I7523,Henry Darwin,1789,1
I7923,Frances Crofts Darwin,1886,74
I8106,William Darwin,1967,63
I8104,Lucy Darwin,1966,64
I7453,Robert Darwin,1682,72
I7460,Robert Waring Darwin,1766,82
I7483,Elizabeth Darwin,1725,75
I7484,William Alvey Darwin,1726,57
I7485,Anne Darwin,1727,86
I7486,Susannah Darwin,1729,60
I7487,John Darwin,1730,75
I7488,Robert Waring Darwin,1724,92
I7489,Charles Darwin,1758,20
I7490,Erasmus Darwin,1759,40
I7497,William Erasmus Darwin,1839,75
I7500,Henrietta Emma Darwin,1843,86
I7501,George Howard Darwin,1845,67
I7502,Elizabeth Darwin,1847,79
I7503,Francis Darwin,1848,77
I7504,Leonard Darwin,1850,93
I7505,Horace Darwin,1851,77
I7507,Marianne Darwin,1798,60
I7508,Caroline Sarah Darwin,1800,88
I7509,Susan Elizabeth Darwin,1803,63
I7510,Erasmus Alvey Darwin,1804,77
I7511,Emily Catherine Darwin,1810,56
I7518,Edward Darwin,1782,47
I7519,Frances Ann Violetta Darwin,1783,91
I7520,Emma Georgina Elizabeth Darwin,1784,34
I7521,Francis Sacheverel Darwin,1786,73
I7524,Harriet Darwin,1790,35
I7558,Ann Darwin,1777,82
I7586,William Darwin,1655,27
I7655,Bernard Richard Meirion Darwin,1876,85
I7705,Erasmus Darwin,1881,34
I7706,[Emma] Nora Darwin,1885,104
I7707,Ruth Francis Darwin,1883,89
I7727,Gwendoline Mary Darwin,1885,72
I7761,Charles Galton Darwin,1887,75
I7767,George Pember Darwin,1928,73
I7771,[Margaret] Elizabeth Darwin,1890,84
I7796,Mary Jane Darwin,1817,55
I7797,Reginald Darwin,1818,74
I7798,Emma Elizabeth Darwin,1820,78
I7799,Edward Levett Darwin,1821,80
I7800,Frances Sarah Darwin,1822,59
I7801,Georgiana Elizabeth Darwin,1823,79
I7802,Violetta Harriot Darwin,1826,54
I7803,Ann Eliza Thomasine Darwin,1828,76
I7804,Millicent Susan Darwin,1833,66
I7805,John Robert Darwin,1835,64
I7841,William Robert Darwin,1894,76
I8765,William Darwin,1620,55
I11906,Robert Vere Darwin,1910,64
I8105,Clare Darwin,1966,64
